Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths_total,Deaths_per_100000,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994038,10520,0,,0,7118,75,0,,0
China,Western Pacific,99381002,6755,101,,101,122367,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,0,,0,7475,392,0,,0
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9528,39,0,,0,315,1,0,,0
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89312,533,1,,1,1972,12,0,,0
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,0,,0,1024,16,0,,0
C�te d'Ivoire,Africa,88448,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8644223,49658,468,3,468,22986,132,0,,0
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836462,8250,19,,19,10353,102,0,,0
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82503,14064,0,,0,1406,240,0,,0
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,2,,2,125,2,0,,0
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7628,25227,,,,64,212,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7622259,5912,12,,12,334764,260,0,,0
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74491,9471,0,,0,1302,166,0,,0
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71430,17964,0,,0,688,173,0,,0
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
Cyprus,Europe,708559,79792,288,32,288,1492,168,0,,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.76696612E8,4808485.0,56643.0,480.0,56643.0,7072509.0,29420.0,740.0,,740.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68575,248,1,,1,1428,5,0,,0
Indonesia,South-East Asia,6829668,2497,44,,44,162059,59,0,,0
Turks and Caicos Islands,Americas,6824,17625,11,28,11,40,103,0,,0
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Poland,Europe,6755185,17796,3845,10,3845,120875,318,21,,21
Sri Lanka,South-East Asia,672802,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,650542,16127,87,2,87,12280,304,0,,0
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,643209,1182,13,,13,19494,36,0,,0
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6394306,12567,38,,38,142727,281,0,,0
Mauritania,Africa,63876,1374,0,,0,997,21,0,,0
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,610471,45935,0,,0,2998,226,0,,0
Austria,Europe,6082821,68338,56,1,56,22534,253,0,,0
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Greece,Europe,5724778,53410,3664,34,3664,39606,370,21,,21
Portugal,Europe,5669374,55064,196,2,196,29018,282,5,,5
Ukraine,Europe,5541734,12672,0,,0,109923,251,0,,0
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5403559,28267,435,2,435,62779,328,10,,10
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5316630,16427,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51892,52764,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501239,436,2,,2,7574,7,0,,0
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49056,2204,,,,307,14,,,
Belgium,Europe,4888331,42424,1308,11,1308,34339,298,0,,0
Israel,Europe,4841558,55936,0,,0,12707,147,0,,0
Canada,Americas,4819055,12768,,,,55282,146,,,
Czechia,Europe,4807669,44957,6026,56,6026,43660,408,29,,29
Thailand,South-East Asia,4803135,6881,399,1,399,34733,50,1,,1
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,472909,4775,0,,0,11114,112,0,,0
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,452977,15287,0,,0,8778,296,0,,0
Peru,Americas,4526977,13730,,,,220975,670,,,
India,South-East Asia,45044081,3264,133,,133,533652,39,1,,1
Switzerland,Europe,4466918,51613,1282,15,1282,14170,164,0,,0
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43263,72,10,,10,846,1,0,,0
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072813,6867,2,,2,102595,173,0,,0
Bosnia and Herzegovina,Europe,403890,12311,0,,0,16400,500,0,,0
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Luxembourg,Europe,395802,63216,261,42,261,1000,160,0,,0
Togo,Africa,39533,478,,,,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,39023328,60000,827,1,827,168091,258,0,,0
Guinea,Africa,38582,294,,,,468,4,,,
Germany,Europe,38437756,46218,0,,0,174979,210,0,,0
Isle of Man,,38008,44698,,,,116,136,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Brazil,Americas,37511921,17648,,,,702116,330,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3566466,18452,162,1,162,68899,356,0,,0
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352032,16897,15,1,15,9990,480,0,,0
Zambia,Africa,349892,1903,3,,3,4078,22,0,,0
Brunei Darussalam,Western Pacific,349170,79814,96,22,96,181,41,0,,0
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Haiti,Americas,34555,303,1,,1,860,8,0,,0
Denmark,Europe,3442484,59121,391,7,391,9919,170,5,,5
Kenya,Africa,344109,640,0,,0,5689,11,0,,0
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337192,11717,3,,3,3608,125,0,,0
Mali,Africa,33171,164,0,,0,743,4,0,,0
Botswana,Africa,330696,14062,,,,2801,119,,,
Mauritius,Africa,329121,25879,53,4,53,1074,84,0,,0
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30288,16494,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
